method	endpoint	file
GET	/:id	routes/complianceRoutes.js
GET	/:id	routes/customerRequestRoutes.js
GET	/:id	routes/customerRoutes.js
GET	/:id	routes/employeeRoutes.js
GET	/:id	routes/feedbackRoutes.js
GET	/:id	routes/inventoryRoutes.js
GET	/:id	routes/kioskOwnerRoutes.js
GET	/:id	routes/kioskRoutes.js
GET	/:id	routes/kotRoutes.js
GET	/:id	routes/orderRoutes.js
GET	/:id	routes/paymentRoutes.js
GET	/:id	routes/tableRoutes.js
GET	/:id	routes/taskRoutes.js
GET	/:id	routes/userRoutes.js
PATCH	/:id	routes/customerRequestRoutes.js
PATCH	/:id	routes/inventoryRoutes.js
PATCH	/:id	routes/tableRoutes.js
PATCH	/:id	routes/taskRoutes.js
PUT	/:id	routes/addonRoutes.js
PUT	/:id	routes/customerRequestRoutes.js
PUT	/:id	routes/employeeRoutes.js
PUT	/:id	routes/kioskOwnerRoutes.js
PUT	/:id	routes/kioskRoutes.js
PUT	/:id	routes/tableRoutes.js
PUT	/:id	routes/taskRoutes.js
PUT	/:id	routes/userRoutes.js
PATCH	/:id/accept	routes/orderRoutes.js
POST	/:id/acknowledge	routes/customerRequestRoutes.js
POST	/:id/add-items	routes/orderRoutes.js
PATCH	/:id/addons	routes/orderRoutes.js
PATCH	/:id/approve	routes/userRoutes.js
POST	/:id/cancel	routes/paymentRoutes.js
PATCH	/:id/checkout	routes/attendanceRoutes.js
PATCH	/:id/complete	routes/dailyTaskRoutes.js
POST	/:id/complete	routes/taskRoutes.js
PATCH	/:id/confirm-payment	routes/orderRoutes.js
PATCH	/:id/convert-to-takeaway	routes/orderRoutes.js
PATCH	/:id/customer-status	routes/orderRoutes.js
PATCH	/:id/end-break	routes/attendanceRoutes.js
POST	/:id/end-break	routes/attendanceRoutes.js
POST	/:id/finalize	routes/orderRoutes.js
POST	/:id/kot	routes/orderRoutes.js
GET	/:id/kot-print	routes/orderRoutes.js
POST	/:id/mark-paid	routes/paymentRoutes.js
POST	/:id/occupy	routes/tableRoutes.js
PATCH	/:id/print-claim	routes/orderRoutes.js
PATCH	/:id/print-complete	routes/orderRoutes.js
PATCH	/:id/print-status	routes/orderRoutes.js
POST	/:id/printed	routes/printQueueRoutes.js
POST	/:id/regenerate-qr	routes/tableRoutes.js
PATCH	/:id/reject	routes/userRoutes.js
POST	/:id/reset-qr	routes/tableRoutes.js
POST	/:id/resolve	routes/customerRequestRoutes.js
PATCH	/:id/return-items	routes/orderRoutes.js
PATCH	/:id/start-break	routes/attendanceRoutes.js
POST	/:id/start-break	routes/attendanceRoutes.js
PATCH	/:id/status	routes/kotRoutes.js
PATCH	/:id/status	routes/leaveRequestRoutes.js
PATCH	/:id/status	routes/orderRoutes.js
PUT	/:id/status	routes/attendanceRoutes.js
PATCH	/:id/stock	routes/inventoryRoutes.js
PATCH	/:id/toggle-cafe-status	routes/userRoutes.js
PATCH	/:id/toggle-status	routes/userRoutes.js
POST	/:id/unmerge	routes/tableRoutes.js
POST	/:id/verify-razorpay	routes/paymentRoutes.js
DELETE	/:token	routes/waitlistRoutes.js
PATCH	/:token/notify	routes/waitlistRoutes.js
PATCH	/:token/seat	routes/waitlistRoutes.js
GET	/active	routes/paymentQrRoutes.js
GET	/apk/:version	routes/appUpdateRoutes.js
POST	/assign	routes/dailyTaskRoutes.js
GET	/attendance	routes/analyticsRoutes.js
GET	/available	routes/cartRoutes.js
GET	/available	routes/tableRoutes.js
GET	/available-ingredients	routes/inventoryRoutes.js
PATCH	/bulk-status	routes/userRoutes.js
GET	/by-admin/:userId	routes/cartRoutes.js
POST	/calculate/daily	routes/revenueRoutes.js
POST	/calculate/monthly	routes/revenueRoutes.js
POST	/categories	routes/menuRoutes.js
DELETE	/categories/:id	routes/menuRoutes.js
PATCH	/categories/:id	routes/menuRoutes.js
POST	/checkin	routes/attendanceRoutes.js
POST	/checkout	routes/attendanceRoutes.js
DELETE	/cleanup	routes/printQueueRoutes.js
POST	/create	routes/paymentRoutes.js
POST	/create	routes/voiceInventoryRoutes.js
GET	/current	routes/revenueRoutes.js
GET	/customers	routes/analyticsRoutes.js
GET	/dashboard	routes/costingRoutes.js
GET	/dashboard/occupancy	routes/tableRoutes.js
GET	/debug/fcm-tokens	routes/notificationRoutes.js
GET	/default-menu-items	routes/costing-v2Routes.js
GET	/diagnose-consumption	routes/costing-v2Routes.js
GET	/emergency-contacts	routes/userRoutes.js
PUT	/emergency-contacts	routes/userRoutes.js
DELETE	/employee/:employeeId	routes/employeeScheduleRoutes.js
GET	/employee/:employeeId	routes/employeeScheduleRoutes.js
PUT	/employee/:employeeId/today-state	routes/employeeScheduleRoutes.js
GET	/employees	routes/analyticsRoutes.js
GET	/expense-categories	routes/costing-v2Routes.js
GET	/expense-categories	routes/costingRoutes.js
POST	/expense-categories	routes/costing-v2Routes.js
POST	/expense-categories	routes/costingRoutes.js
DELETE	/expense-categories/:id	routes/costingRoutes.js
PUT	/expense-categories/:id	routes/costingRoutes.js
GET	/expenses	routes/costing-v2Routes.js
GET	/expenses	routes/costingRoutes.js
POST	/expenses	routes/costing-v2Routes.js
POST	/expenses	routes/costingRoutes.js
DELETE	/expenses/:id	routes/costing-v2Routes.js
DELETE	/expenses/:id	routes/costingRoutes.js
GET	/expenses/:id	routes/costingRoutes.js
PUT	/expenses/:id	routes/costing-v2Routes.js
PUT	/expenses/:id	routes/costingRoutes.js
POST	/expenses/bulk-import	routes/costingRoutes.js
GET	/expenses/summary	routes/costing-v2Routes.js
GET	/expiring	routes/complianceRoutes.js
GET	/export	routes/analyticsRoutes.js
GET	/export	routes/revenueRoutes.js
GET	/firebase-web-config	routes/notificationRoutes.js
GET	/franchise	routes/revenueRoutes.js
POST	/generate	routes/dailyTaskRoutes.js
POST	/generate-franchise-code	routes/userRoutes.js
POST	/generate-url	routes/fileRoutes.js
GET	/health	routes/healthRoutes.js
GET	/hierarchical-costing	routes/costing-v2Routes.js
GET	/hierarchy	routes/employeeRoutes.js
GET	/history	routes/revenueRoutes.js
GET	/ingredient-purchases	routes/costingRoutes.js
POST	/ingredient-purchases	routes/costingRoutes.js
DELETE	/ingredient-purchases/:id	routes/costingRoutes.js
PUT	/ingredient-purchases/:id	routes/costingRoutes.js
GET	/ingredients	routes/costing-v2Routes.js
GET	/ingredients	routes/costingRoutes.js
POST	/ingredients	routes/costing-v2Routes.js
POST	/ingredients	routes/costingRoutes.js
DELETE	/ingredients/:id	routes/costing-v2Routes.js
DELETE	/ingredients/:id	routes/costingRoutes.js
PUT	/ingredients/:id	routes/costing-v2Routes.js
PUT	/ingredients/:id	routes/costingRoutes.js
GET	/ingredients/:id/fifo-layers	routes/costing-v2Routes.js
GET	/ingredients/debug	routes/costing-v2Routes.js
POST	/intent	routes/voiceCommandRoutes.js
GET	/inventory	routes/analyticsRoutes.js
GET	/inventory	routes/costing-v2Routes.js
POST	/inventory/adjust	routes/costingRoutes.js
POST	/inventory/consume	routes/costing-v2Routes.js
POST	/inventory/direct-purchase	routes/costing-v2Routes.js
POST	/inventory/return	routes/costing-v2Routes.js
GET	/inventory/transactions	routes/costing-v2Routes.js
GET	/inventory/transactions	routes/costingRoutes.js
GET	/investments	routes/costingRoutes.js
