file	line	method	prefix	path	auth	roles	endpoint
routes/costingRoutes.js	119	POST	(unmounted?)	/inventory/adjust	none		/inventory/adjust
routes/costingRoutes.js	120	GET	(unmounted?)	/inventory/transactions	none		/inventory/transactions
routes/costingRoutes.js	85	GET	(unmounted?)	/investments	none		/investments
routes/costingRoutes.js	87	POST	(unmounted?)	/investments	none		/investments
routes/costingRoutes.js	89	DELETE	(unmounted?)	/investments/:id	none		/investments/:id
routes/costingRoutes.js	86	GET	(unmounted?)	/investments/:id	none		/investments/:id
routes/costingRoutes.js	88	PUT	(unmounted?)	/investments/:id	none		/investments/:id
routes/menuRoutes.js	37	POST	(unmounted?)	/items	none		/items
routes/menuRoutes.js	40	DELETE	(unmounted?)	/items/:id	none		/items/:id
routes/menuRoutes.js	38	PATCH	(unmounted?)	/items/:id	none		/items/:id
routes/menuRoutes.js	39	PATCH	(unmounted?)	/items/:id/availability	none		/items/:id/availability
routes/paymentQrRoutes.js	27	GET	(unmounted?)	/list	none		/list
routes/userRoutes.js	78	POST	(unmounted?)	/logout	none		/logout
routes/adminRoutes.js	21	POST	(unmounted?)	/logout-all	protect		/logout-all
routes/tableRoutes.js	26	GET	(unmounted?)	/lookup/:slug	protect		/lookup/:slug
routes/employeeSkillsRoutes.js	25	GET	(unmounted?)	/mappings	none		/mappings
routes/employeeSkillsRoutes.js	27	POST	(unmounted?)	/mappings	none		/mappings
routes/employeeSkillsRoutes.js	29	DELETE	(unmounted?)	/mappings/:id	none		/mappings/:id
routes/employeeSkillsRoutes.js	28	PUT	(unmounted?)	/mappings/:id	none		/mappings/:id
routes/employeeSkillsRoutes.js	26	GET	(unmounted?)	/mappings/employee/:employeeId	none		/mappings/employee/:employeeId
routes/userRoutes.js	71	GET	(unmounted?)	/me	protect		/me
routes/analyticsRoutes.js	43	GET	(unmounted?)	/menu	authorize	adminRoles	/menu
routes/costing-v2Routes.js	328	DELETE	(unmounted?)	/menu-items/:id	authorize	["super_admin", "franchise_admin", "admin"]	/menu-items/:id
routes/tableRoutes.js	38	POST	(unmounted?)	/merge	authorize	["admin"]	/merge
routes/paymentRoutes.js	29	GET	(unmounted?)	/meta/constants	none		/meta/constants
routes/menuRoutes.js	20	GET	(unmounted?)	/meta/spice-levels	none		/meta/spice-levels
routes/taskRoutes.js	23	GET	(unmounted?)	/my	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/my
routes/cartRoutes.js	21	GET	(unmounted?)	/my-settings	authorize	["admin", "cart_admin"]	/my-settings
routes/cartRoutes.js	22	PUT	(unmounted?)	/my-settings	authorize	["admin", "cart_admin"]	/my-settings
routes/cartRoutes.js	16	GET	(unmounted?)	/nearby	none		/nearby
routes/printRoutes.js	18	POST	(unmounted?)	/network	none		/network
routes/paymentRoutes.js	27	GET	(unmounted?)	/order/:orderId/all	authorize	["admin", "franchise_admin", "super_admin", "manager"]	/order/:orderId/all
routes/paymentRoutes.js	20	GET	(unmounted?)	/order/:orderId/latest	none		/order/:orderId/latest
routes/analyticsRoutes.js	40	GET	(unmounted?)	/orders	authorize	adminRoles	/orders
routes/costingRoutes.js	135	GET	(unmounted?)	/outlet-assets	none		/outlet-assets
routes/costingRoutes.js	136	POST	(unmounted?)	/outlet-assets	none		/outlet-assets
routes/costingRoutes.js	138	DELETE	(unmounted?)	/outlet-assets/:id	none		/outlet-assets/:id
routes/costingRoutes.js	137	PUT	(unmounted?)	/outlet-assets/:id	none		/outlet-assets/:id
routes/costingRoutes.js	129	GET	(unmounted?)	/outlet-opex	none		/outlet-opex
routes/costingRoutes.js	130	POST	(unmounted?)	/outlet-opex	none		/outlet-opex
routes/costingRoutes.js	132	DELETE	(unmounted?)	/outlet-opex/:id	none		/outlet-opex/:id
routes/costingRoutes.js	131	PUT	(unmounted?)	/outlet-opex/:id	none		/outlet-opex/:id
routes/attendanceRoutes.js	39	GET	(unmounted?)	/past	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/past
routes/customerRequestRoutes.js	27	GET	(unmounted?)	/pending	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/pending
routes/kotRoutes.js	115	GET	(unmounted?)	/pending	authorize	["admin", "franchise_admin", "super_admin", "waiter", "cook", "captain", "manager"]	/pending
routes/printQueueRoutes.js	16	GET	(unmounted?)	/pending	authorize	['admin', 'franchise_admin', 'super_admin']	/pending
routes/addonRoutes.js	7	GET	(unmounted?)	/public	protect		/public
routes/menuRoutes.js	19	GET	(unmounted?)	/public	none		/public
routes/tableRoutes.js	24	GET	(unmounted?)	/public	none		/public
routes/feedbackRoutes.js	12	POST	(unmounted?)	/public	protect		/public
routes/tableRoutes.js	25	GET	(unmounted?)	/public-cart-id/:tableId	none		/public-cart-id/:tableId
routes/cartRoutes.js	18	GET	(unmounted?)	/public-contact	authorize	["admin", "cart_admin"]	/public-contact
